2,0.1,0.1,1055,2408,1041,3026,2361,600,121,70,858,1105
2,0.1,0.2,3554,1516,1872,1026,477,185,149,2509,1477,809
2,0.1,0.30000000000000004,1635,2924,4350,826,1557,2599,1491,2840,372,783
2,0.1,0.4,327,223,57,2316,1054,1393,787,535,122,24
2,0.1,0.5,399,623,294,760,1664,574,33,1836,863,2343
2,0.1,0.6,3713,245,228,930,613,203,435,1675,296,616
2,0.1,0.7,416,1113,159,688,938,2659,492,206,158,1025
2,0.1,0.7999999999999999,2310,2243,534,3274,1183,1442,305,1160,2705,1095
2,0.1,0.8999999999999999,1351,125,290,2677,220,2870,1998,1696,702,36
2,0.1,0.9999999999999999,441,1089,617,646,138,955,871,326,7,447
2,0.2,0.1,1723,1015,292,370,605,737,410,80,838,370
2,0.2,0.2,710,140,762,1430,159,346,585,498,1463,293
2,0.2,0.30000000000000004,161,87,92,1306,1697,409,1102,70,196,377
2,0.2,0.4,812,461,605,248,256,698,694,979,1483,148
2,0.2,0.5,931,224,222,151,496,125,1309,79,545,337
2,0.2,0.6,2309,1156,100,108,492,558,1049,1310,916,397
2,0.2,0.7,711,242,385,293,751,193,469,618,859,289
2,0.2,0.7999999999999999,491,560,446,1576,614,114,323,163,1019,275
2,0.2,0.8999999999999999,518,119,435,115,999,114,246,935,24,304
2,0.2,0.9999999999999999,225,190,690,720,8,15,192,375,248,10
2,0.30000000000000004,0.1,508,94,23,137,115,12,267,106,569,334
2,0.30000000000000004,0.2,213,16,285,693,311,12,436,95,266,771
2,0.30000000000000004,0.30000000000000004,942,108,628,409,409,545,1271,647,663,300
2,0.30000000000000004,0.4,396,577,385,911,42,1575,442,889,699,324
2,0.30000000000000004,0.5,152,310,261,308,887,312,958,249,84,285
2,0.30000000000000004,0.6,704,614,462,420,108,588,588,1776,34,145
2,0.30000000000000004,0.7,377,130,195,625,592,201,689,28,410,447
2,0.30000000000000004,0.7999999999999999,304,144,943,90,441,1639,655,174,436,109
2,0.30000000000000004,0.8999999999999999,113,292,8,268,89,414,568,50,9,109
2,0.30000000000000004,0.9999999999999999,27,710,137,880,102,328,330,1089,687,17
2,0.4,0.1,235,22,307,944,260,62,44,46,17,119
2,0.4,0.2,483,56,135,64,67,138,398,69,192,435
2,0.4,0.30000000000000004,130,478,202,17,28,298,82,811,501,549
2,0.4,0.4,84,24,80,126,1036,134,529,295,13,152
2,0.4,0.5,147,149,398,1328,289,261,63,159,17,337
2,0.4,0.6,423,64,9,80,134,426,121,13,232,1003
2,0.4,0.7,963,577,83,153,12,202,78,103,443,28
2,0.4,0.7999999999999999,89,280,6,176,157,124,599,37,188,645
2,0.4,0.8999999999999999,709,133,250,244,620,44,645,415,36,1570
2,0.4,0.9999999999999999,190,159,127,415,532,5,296,417,80,376
2,0.5,0.1,457,41,103,133,464,306,251,97,29,46
2,0.5,0.2,136,237,170,1,96,693,265,69,70,31
2,0.5,0.30000000000000004,39,85,15,264,231,215,77,345,114,384
2,0.5,0.4,140,132,356,100,131,326,62,202,183,152
2,0.5,0.5,10,267,259,90,976,329,157,347,488,183
2,0.5,0.6,149,66,206,40,189,241,290,502,45,948
2,0.5,0.7,270,25,309,127,279,299,61,25,129,36
2,0.5,0.7999999999999999,474,31,496,425,467,128,1340,105,258,417
2,0.5,0.8999999999999999,114,178,56,89,57,249,511,43,44,15
2,0.5,0.9999999999999999,8,63,333,362,417,579,117,68,450,25
2,0.6,0.1,145,85,217,51,33,75,296,133,343,148
2,0.6,0.2,248,98,247,345,162,327,208,207,220,93
2,0.6,0.30000000000000004,170,71,18,25,437,120,42,118,71,107
2,0.6,0.4,259,141,288,246,117,16,102,42,50,137
2,0.6,0.5,89,645,51,322,138,82,23,12,277,40
2,0.6,0.6,225,142,37,74,12,173,483,111,202,47
2,0.6,0.7,301,28,90,120,100,69,35,13,133,34
2,0.6,0.7999999999999999,280,524,147,62,44,75,151,104,19,11
2,0.6,0.8999999999999999,500,178,151,46,82,76,178,85,85,169
2,0.6,0.9999999999999999,12,636,199,186,66,279,23,93,217,156
2,0.7,0.1,88,93,37,71,42,29,42,256,158,54
2,0.7,0.2,71,38,148,113,902,11,99,15,163,412
2,0.7,0.30000000000000004,455,48,228,80,71,122,259,335,95,43
